date,platform,source,title,titleOriginal,summary,sourceUrl
2026-03-03,meta,Meta for Business News,简化社交优先世界的广告衡量,Simplifying Ad Measurement for a Social-First World,"Meta宣布对广告测量和归因模型进行重大更新，特别是针对点击归因的变革。主要变更：1）将8天点击窗口期缩短至1天，减少归因偏差；2）推出增强版Meta Pixel以更准确地追踪转化路径；3）新增""跨设",https://www.facebook.com/business/news/click-attribution
2026-03-13,meta,Meta Developers Blog,汽车型号广告过渡至Comscore Markets,Transitioning to Comscore Markets for automotive model ads,Meta宣布从2026年6月22日起停止使用Nielsen指定市场区域(DMA)进行汽车型号广告定向，改用Comscore Markets®作为替代方案。Comscore Markets于2025年8,https://developers.facebook.com/blog/post/2026/03/13/transitioning-to-comscore-markets-for-automotive-model-ads/
2026-03-18,meta,Meta for Business News,Manus x Meta for Business：企业AI代理新时代,Manus x Meta for Businesses,Meta宣布与Manus公司合作，在其应用家族（包括Facebook、Instagram、WhatsApp等）中推出Manus自主AI代理的Beta测试。这是首个深度集成到Meta广告和商务工具的企业,https://www.facebook.com/business/news/manus-joins-meta-accelerating-ai-innovation-for-businesses
2026-03-24,meta,Meta for Business News,AI与创作者赋能产品发现的新时代,Introducing a New Era of Product Discovery Powered by AI and Creators,Meta在ShopTalk 2026大会上发布全新产品发现功能：1）推出AI驱动的产品推荐助手，可根据用户浏览历史和社交互动提供个性化购物建议；2）创作者产品推荐功能升级，允许创作者直接在内容中嵌入A,https://www.facebook.com/business/news/ai-and-creators-product-discovery
2026-03-25,meta,Meta Developers Blog,Meta营销API：Threads广告最新更新,Marketing API: Latest Updates for Ads on Threads,Meta发布Threads营销API最新更新，Threads月活跃用户已超过4亿。更新内容涵盖新的广告功能和工具，使合作伙伴和广告主能够采用增强的广告系列功能。广告投放团队应关注Threads广告AP,https://developers.facebook.com/blog/post/2026/03/25/marketing-api-latest-updates-for-ads-on-threads/
2026-03-26,meta,Meta for Business News,从商业到文化：AI如何推动整个营销漏斗的个性化连接与增长,From Commerce to Culture: How AI is Powering Personalized Connection and Growth Across the Funnel,Meta在NewFronts活动上宣布其AI驱动工具生态系统的重大更新，旨在帮助企业在整个营销漏斗中创建个性化体验。主要包括：1）Reels和Stories的AI增强推荐功能扩展至更多品牌内容；2）A,https://www.facebook.com/business/news/from-commerce-to-culture-at-newfronts
2026-03-27,meta,Messenger Platform Changelog,Message Tags即将停用，请迁移至Utility Templates或Marketing Messages API,Message Tags Deprecation Notice,Meta宣布将于2026年4月27日起停用CONFIRMED_EVENT_UPDATE、ACCOUNT_UPDATE和POST_PURCHASE_UPDATE三个Message Tags，届时包含这些,https://developers.facebook.com/docs/messenger-platform
2026-04-14,meta,Meta Developers Blog,Threads API 新功能一览,What's new in the Threads API,Threads API 迎来重大改进，为开发者带来全新功能：支持客户发布更丰富的内容、将 Threads 集成到自有应用、以及增强的互动管理能力。这些更新旨在提升开发者体验，帮助广告主和合作伙伴更好地,https://developers.facebook.com/blog/post/2026/04/14/whats-new-in-the-threads-api/
2026-04-15,meta,Meta for Business News,打破技术壁垒，帮助各类规模企业从广告中获得更多收益,Removing Technical Barriers to Help Businesses of All Sizes Get More From Their Ads,Meta 宣布更新 Meta Pixel 和转化 API，使企业更容易维护良好的连接状态和最新配置以提升广告效果。这些更新降低了技术门槛，帮助中小型企业更好地实现像素和 API 的正确设置，从而改善广,https://www.facebook.com/business/news/pixel-conversionsapi-updates
2026-04-21,meta,Meta for Business News,The Media Image 如何利用 Meta 协作者系统提升洞察与绩效,How The Media Image boosted insights and performance with a Meta co-pilot system,全球领先独立获客营销机构 The Media Image 构建了 Meta 协作者多智能体系统，显著提升了运营效率并为客户带来更好的广告效果。此案例展示了 AI 协作者系统在广告投放中的实际应用价值，,https://www.facebook.com/business/news/meta-media-image-agency-copilot-success-story
2026-04-22,meta,Meta for Business News,Meta AI 商业助手全球扩展，支持更多语言,"Meta AI business assistant Expands Globally, More Languages",Meta 正在将 Meta AI 商业助手 beta 测试扩展至全球主要市场的广告主和代理商，支持更多语言。这意味着各类规模的广告主都能使用 AI 助手来优化广告活动管理和策略制定，是 Meta AI,https://www.facebook.com/business/news/meta-ai-business-assistant-expands-globally-with-more-languages
2026-01-09,tiktok,TikTok Business API Changelog,GMV Max广告系列促销日预算和自动预算功能、Zefr可见性合作伙伴、搜索广告库存过滤、TikTok One创作者市场指标扩展,"GMV Max promotion days budget, Zefr viewability partner, Search Ads inventory filter, and expanded TikTok One metrics",本次更新包含四项重要功能增强：1) GMV Max广告系列预算管理增强：/campaign/gmv_max/create/、/campaign/gmv_max/update/和/campaign/gm,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-01-16,tiktok,TikTok Business API Changelog,广告预览新增CapCut和Lemon8投放位支持、商业音乐库集成、趋势歌曲片段检索,"Ad preview expanded with CapCut and Lemon8 placements, Commercial Music Library integration, and trending song clips",本次更新包含三项重要增强：1) 广告预览能力扩展：/creative/ads_preview/create/端点新增CapCut和Lemon8投放位支持，placement参数新增PLACEMENT_,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-01-21,tiktok,TikTok for Business Blog,TikTok Market Scope：品牌用户规模分析解决方案,Introducing TikTok Market Scope,Market Scope是TikTok推出的第一方数据分析平台，帮助广告主识别、理解和激活不同漏斗阶段的用户群体。该工具提供用户规模洞察，支持品牌在TikTok全漏斗进行精准营销策略制定。对于广告投放,https://ads.tiktok.com/business/en-US/blog/market-scope-brand-consideration-ads
2026-01-22,tiktok,TikTok for Business Blog,还在使用Custom Identity？迁移到TikTok F.I.R.S.T. presence,Still using Custom Identity? Transition to a TikTok F.I.R.S.T. presence,本文是Custom Identity向F.I.R.S.T.迁移的分步指南。F.I.R.S.T.是TikTok推出的统一付费和有机内容的解决方案，帮助广告主更好地整合营销存在。迁移后可实现更统一的品牌呈,https://ads.tiktok.com/business/en-US/blog/custom-identity-transition
2026-01-23,tiktok,TikTok Business API Changelog,升级版Smart+ API正式发布、统一框架下的增强型广告系列管理,Upgraded Smart+ API availability with enhanced campaign structure and unified management framework,升级版Smart+ API正式发布，该API支持增强型广告系列结构，内置升级版Smart+体验。广告主可以在统一框架内更高效地创建和管理广告系列，简化操作流程，提升整体广告管理效率。这一版本标志着Ti,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-01-30,tiktok,TikTok Business API Changelog,GMV Max报表状态筛选、身份仅广告模式查询、组织账户创建和Business Center功能全面增强,"GMV Max report status filter, ads_only_mode, Organization Account creation, and comprehensive Business Center enhancements",本次更新包含多项重要增强：1) GMV Max报表功能：/gmv_max/report/get/端点新增STATUS_ALL枚举值至campaign_statuses参数，支持一次性获取所有GMV M,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-02-01,tiktok,TikTok What's New,专业预览体验：TikTok Ads Manager全新独立广告预览工具、可分享链接及批量预览功能,"Preview like a pro: New standalone Ad Preview Tool, shareable URLs, and Bulk Preview in TikTok Ads Manager",TikTok Ads Manager推出全新独立预览工具，支持可分享URL和批量预览功能。广告主可在正式投放前通过链接与团队成员协作预览，支持二维码预览，便于多方快速审阅广告视觉效果和功能状态，有效减,https://ads.tiktok.com/help/blog
2026-02-02,tiktok,TikTok Ads Blog (AU),Ebiquity x TikTok 2026研究：高端付费回报,Ebiquity x TikTok 2026 Research,基于2026年最新研究，揭示高影响力广告格式如何帮助品牌实现更低成本的业务成果。该研究为广告投放团队提供了关于广告格式投资回报的重要参考数据，指导优化广告预算分配策略。,https://ads.tiktok.com/business/en-AU/blog/tiktok-ebiquity
2026-02-02,tiktok,TikTok for Business Blog,Ebiquity x TikTok 2026研究：高价付费回报——高影响力广告格式如何带来更低的业务成本,Ebiquity x TikTok 2026 Research,该研究探讨了高影响力广告格式如何为广告主带来更低业务成本。研究基于实际投放数据，分析了TikTok优质广告位的投资回报表现，为品牌优化2026年广告预算分配提供数据支撑。对于追求高效投放的广告团队，建,https://ads.tiktok.com/business/en-US/blog/tiktok-ebiquity
2026-02-06,tiktok,TikTok Business API Changelog,Smart+广告免责声明、自动添加创意开关、自动增强策略功能上线、关键词发现工具发布,"New disclaimer, creative auto-add toggle, automatic enhancement strategy, and keyword discovery endpoint",本次更新包含四项重要功能：1) 升级版Smart+广告免责声明功能：/smart_plus/ad/create/、/smart_plus/ad/update/和/smart_plus/ad/get/端,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-02-13,tiktok,TikTok Business API Changelog,评论图片上传功能、Business Messaging消息原ID增强,New image upload for comments and enhanced Business Messaging with original message ID,本次更新包含两项功能增强：1) 评论图片上传功能：新增/business/comment/image/upload/端点用于图片上传；/business/comment/create/和/busine,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-02-27,tiktok,TikTok Business API Changelog,非CBO广告系列预算模式扩展、支持每日和总预算设置,Expanded budget options for non-CBO campaigns with daily and total budget modes,升级版Smart+ API端点（/smart_plus/campaign/create/、/smart_plus/campaign/update/、/smart_plus/campaign/get/）,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-03-05,tiktok,TikTok for Business Blog,TikTok与Samba：为电影公司带来可衡量的票房增长,TikTok and Samba: Driving measurable box office growth for studios,TikTok与Samba合作发布元分析研究，展示了TikTok平台对电影票房增长的可衡量影响。该研究为电影公司和内容发行商提供了数据支持，证明TikTok已成为电影宣发的重要渠道。,https://ads.tiktok.com/business/en-US/blog/samba-meta-analysis-box-office
2026-03-06,tiktok,TikTok Business API Changelog,GMV Max商品数量限制扩展、商品数量字段、加速测试功能、广告账户创建和转账功能增强,"Expanded item_group_ids size, new quantity field, accelerate testing, and enhanced ad account creation and transfer",本次更新包含五项重要增强：1) GMV Max广告系列商品数量限制扩展，/campaign/gmv_max/create/和/campaign/gmv_max/update/端点的item_group,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-03-13,tiktok,TikTok Business API Changelog,Spark Ads推送内容控制增强、Smart+电商目录广告创意能力扩展、广告预览功能增强,"Enhanced Spark Ads Push content control, expanded Smart+ E-commerce Catalog Ads creative capabilities, and improved ad preview",本次更新包含三项重要增强：1) Spark Ads推送内容控制能力提升，现在可从/identity/get/检索ads_only_mode和username，从/identity/info/获取use,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-03-20,tiktok,TikTok Business API Changelog,基础报表新增TikTok指标、报表订阅API发布、支付组合管理功能增强,"New TikTok metrics in Basic reports, Reporting Subscription API launch, and Payment Portfolio management enhancements",本次更新包含三项重要功能：1) 基础报表增强，新增TikTok专属指标提供更深入的用户行为洞察，包括购买、广告收入和订阅等关键操作追踪。2) 全新报表订阅API发布，允许监控花费、展示、点击和视频播放,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-03-23,tiktok,TikTok for Business Blog,TikTok创作者适配性报告：品牌策略与实践指南,TikTok Creator Suitability Report: Strategies and tactics for brands,TikTok发布全新研究与指南，帮助品牌在扩大创作者合作规模的同时，维护品牌安全、适配性、真实性和受众信任。该报告为广告主提供了负责任地规模化创作者营销的策略框架和实操建议。,https://ads.tiktok.com/business/en-US/blog/tiktok-creator-suitability-report
2026-03-24,tiktok,TikTok for Business Blog,TikTok Pulse套件：通过与TikTok精选内容对齐触达专属受众,TikTok Pulse suite: Reach exclusive audiences through alignment with the best of TikTok,TikTok推出Pulse套件，为广告主提供一整套解决方案，使其品牌内容与平台上的热门内容相邻展示。该套件解锁了在高度相关环境中触达原本难以覆盖的受众群体的能力，帮助品牌获取优质流量并提升广告效果。,https://ads.tiktok.com/business/en-US/blog/tiktok-pulse-premium-contextual-ad-placement
2026-03-24,tiktok,TikTok for Business Blog,重新定义「置顶」体验：TopReach全新上线,Redefining what it means to stay on top (of the feed) with TopReach,TikTok推出全新TopReach解决方案，将TopView和Top Feed的最佳优势整合在一起，以更高的性价比为品牌带来优质可见性和独特覆盖。该产品革新了开屏和首位信息流广告的组合模式，为品牌提,https://ads.tiktok.com/business/en-US/blog/introducing-topreach
2026-03-27,tiktok,TikTok Business API Changelog,Upgraded Smart+广告新增产品详情和促销信息参数,New parameters for Upgraded Smart+ Ads,在/smart_plus/ad/create/、/smart_plus/ad/update/和/smart_plus/ad/get/端点中新增product_titles、product_image_,https://business-api.tiktok.com/portal/docs
2026-03-27,tiktok,TikTok Business API Changelog,Smart+广告新增产品详情和促销信息参数、同步受众报表维度增强,New product and promo parameters for Smart+ ads and enhanced synchronous audience reports,本次更新包含两个重要增强：1) 升级版Smart+广告能力增强，在/smart_plus/ad/create/、/smart_plus/ad/update/和/smart_plus/ad/get/端点,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-04-03,tiktok,TikTok for Business Blog,一个工作流，更智能的营销活动：TikTok与HubSpot对接,"One workflow, smarter campaigns: TikTok meets HubSpot",TikTok与HubSpot营销自动化平台实现深度对接，广告主现可将TikTok广告数据与HubSpot CRM工作流无缝同步。通过连接受众群体、转化追踪和自动化规则，提升线索质量和全漏斗营销可视化。,https://ads.tiktok.com/business/en-US/blog/hubspot-integration
2026-04-03,tiktok,TikTok Business API Changelog,Smart+目录广告自定义受众再营销、GMV Max创意管理端点、报表维度扩展、文档链接语义化更新,"Custom audience retargeting for Smart+ Catalog Ads, new GMV Max creative update endpoint, expanded reporting dimensions, and semantic doc links",本次更新包含四项重要增强：1) 升级版Smart+网站和应用优化目录广告新增自定义受众再营销功能，通过新增参数shopping_ads_retargeting_type、shopping_ads_re,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-04-08,tiktok,TikTok for Business Blog,Wix与TikTok联手：将发现转化为销售,Turn discovery into sales with Wix and TikTok,TikTok与Wix达成深度集成，品牌可将Wix网站内容直接连接到TikTok for Business，轻松设置广告投放、追踪转化表现。整合后支持从内容发现到购买转化的全链路追踪，实现站外流量变现。,https://ads.tiktok.com/business/en-US/blog/wix-integration
2026-04-10,tiktok,TikTok Business API Changelog,Upgraded Smart+应用安装广告追踪功能增强、添加追踪像素和离线事件集ID支持,Enhanced tracking capabilities for Upgraded Smart+ App Install campaigns with tracking_pixel_id and tracking_offline_event_set_ids,升级版Smart+应用安装和重定向广告的追踪功能得到显著增强。通过在/smart_plus/ad/create/、/smart_plus/ad/update/和/smart_plus/ad/get/端,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-04-13,tiktok,TikTok for Business Blog,TikTok Symphony与Dreamina Seedance 2.0重塑视频创作,Transforming video creation with TikTok Symphony and Dreamina Seedance 2.0,TikTok Symphony创意套件迎来重大升级，集成Dreamina Seedance 2.0 AI视频生成能力。新版本提供更一致的创意风格控制、更强的批量制作能力，并支持AI脚本生成、数字人克隆,https://ads.tiktok.com/business/en-US/blog/transforming-video-creation-tiktok-symphony-dreamina-seedance
2026-04-14,tiktok,TikTok for Business Blog,从设计到上线：如何在Canva中创建TikTok广告,From design to launch: How to create TikTok ads in Canva,TikTok与Canva深化合作，为广告主提供从设计到投放的一站式创意工作流。通过Canva平台可直接创建TikTok广告素材并同步到TikTok for Business，支持多尺寸适配、品牌素材库,https://ads.tiktok.com/business/en-US/blog/canva-full-funnel-creative-tips
2026-04-17,tiktok,TikTok Business API Changelog,Upgraded Smart+应用安装广告年龄定向扩展至13-17岁、自定义受众再营销功能增强,Age targeting expanded for Upgraded Smart+ App Install campaigns and retargeting custom audiences support,本次更新带来两项重要能力增强：1) 升级版Smart+应用安装和重定向广告的年龄定向选项扩展，新增AGE_13_17枚举值用于age_groups参数，以及ALL枚举值用于spc_audience_a,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-04-21,tiktok,TikTok for Business Blog,TikTok Product Preview：2026年Q2品牌新功能前瞻,TikTok Product Preview: What's new for brands in Q2 2026,TikTok发布2026年第二季度产品更新预览，涵盖最新的产品创新功能，旨在帮助品牌和代理商在TikTok上推动业务增长。本季度重点可能包括AI驱动创意工具升级、效果广告优化及商务功能增强。建议广告投,https://ads.tiktok.com/business/en-US/blog/tiktok-product-preview
2026-04-24,tiktok,TikTok Business API Changelog,互动组件扩展至升级版Smart+网页和电商目录广告，驱动用户参与,Interaction add-ons support expanded to Upgraded Smart+ Web Campaigns and E-commerce Catalog Ads,升级版Smart+网页广告和电商目录广告现已支持互动组件管理。广告投放团队可通过 /smart_plus/ad/create/ 和 /smart_plus/ad/update/ 接口的 interac,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
2026-04-24,tiktok,TikTok Business API Changelog,Smart+广告互动附加组件支持扩展、报表新增三个社交指标、关键词发现功能新增11个地区支持,"Interaction add-ons for Upgraded Smart+ campaigns, new social metrics in reporting, and expanded keyword discovery regions",本次更新包含三个重要功能增强：1) 扩展了互动附加组件(interaction add-ons)的支持范围，现在可用于常规Upgraded Smart+网页广告和升级版Smart+电商目录广告，通过i,https://business-api.tiktok.com/portal/docs/whats-new/v1.3
